date,protocol,asset,chain,best_apy_base,tvl,tvl_usd,apy_base,apy_reward
2025-02-25,morpho-blue,HUSDC,Ethereum,25.01839,28647375,28647375,25.01839,0.0
2025-02-26,morpho-blue,HUSDC,Ethereum,31.2023,26085723,26085723,31.2023,0.0
2025-02-27,morpho-blue,HUSDC,Ethereum,15.62203,26318362,26318362,15.62203,0.0
2025-02-28,morpho-blue,STEAKUSDT,Ethereum,13.56704,43559020,43559020,13.56704,1.77542
2025-03-01,morpho-blue,HUSDC,Ethereum,10.93898,35677795,35677795,10.93898,0.03019
2025-03-02,morpho-blue,GTUSDCF,Ethereum,10.82104,510117,510117,10.82104,1.82498
2025-03-03,ethena-usde,SUSDE,Ethereum,10.65366,3016043582,3016043582,10.65366,0.0
2025-03-04,ethena-usde,SUSDE,Ethereum,10.68796,3006830953,3006830953,10.68796,0.0
2025-03-05,ethena-usde,SUSDE,Ethereum,10.67944,3009114347,3009114347,10.67944,0.0
2025-03-06,morpho-blue,HUSDC,Ethereum,8.94659,41024217,41024217,8.94659,0.0
2025-03-07,morpho-blue,GTUSDCF,Ethereum,9.16548,1151533,1151533,9.16548,1.2602
2025-03-08,morpho-blue,HUSDC,Ethereum,9.39122,37171766,37171766,9.39122,0.0
2025-03-09,morpho-blue,HUSDC,Ethereum,9.64954,35155153,35155153,9.64954,0.0
2025-03-10,morpho-blue,HUSDC,Ethereum,9.68055,33540022,33540022,9.68055,0.0
2025-03-11,morpho-blue,HUSDC,Ethereum,9.18709,46036135,46036135,9.18709,0.0
2025-03-12,morpho-blue,HUSDC,Ethereum,8.85115,48938554,48938554,8.85115,0.0
2025-03-13,euler-v2,USDC,Ethereum,28.60865,1220351,1220351,28.60865,0.0
2025-03-14,morpho-blue,HUSDC,Ethereum,8.72524,58656333,58656333,8.72524,0.0
2025-03-15,morpho-blue,HUSDC,Ethereum,8.72524,58656333,58656333,8.72524,0.0
2025-03-16,morpho-blue,HUSDC,Ethereum,8.72524,58656333,58656333,8.72524,0.0
2025-03-17,morpho-blue,HUSDC,Ethereum,8.72758,58656362,58656362,8.72758,0.0
