date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-07-13,5.45464,0.0,5.54226,10.1378,12.2391,4.88086,0.0,0.0,0.0,0.0,6.75874,6.2542,6.34707,0.0,4.89434,0.0,6.34354,0.0,0.0,0.0,0.0,0.0,5.02138,5.39533,6.26528,0.0,0.0
2024-07-14,5.44735,0.0,5.60851,11.54305,12.19846,4.89611,0.0,0.0,0.0,0.0,6.85001,6.30686,6.68774,0.0,4.94126,0.0,6.34421,0.0,0.0,0.0,0.0,0.0,4.73674,5.43501,5.76631,0.0,0.0
2024-07-15,5.96639,0.0,5.80756,10.89325,12.13404,4.85496,0.0,0.0,0.0,0.0,6.1802,6.18051,7.63067,0.0,4.89965,0.0,7.21497,0.0,0.0,0.0,0.0,0.0,4.48205,5.21679,6.16471,0.0,0.0
2024-07-16,5.97344,0.0,5.72192,11.07402,11.70035,5.21845,0.0,0.0,0.0,0.0,7.07714,6.53068,7.17832,0.0,5.23367,0.0,6.87779,0.0,0.0,0.0,0.0,0.0,4.33468,5.58925,6.14258,0.0,0.0
2024-07-17,5.81522,0.0,5.71049,11.67393,11.70031,5.41462,0.0,0.0,0.0,0.0,7.54954,6.45089,7.01148,0.0,5.51983,0.0,7.07889,0.0,0.0,0.0,0.0,0.0,4.22674,5.80446,5.95134,0.0,0.0
2024-07-18,5.9535,0.0,5.88562,11.68212,11.73981,5.68201,0.0,0.0,0.0,0.0,7.43588,6.70831,6.83958,0.0,5.6151,0.0,7.04385,0.0,0.0,0.0,0.0,0.0,3.90395,6.00968,5.97315,0.0,0.0
2024-07-19,5.89929,0.0,5.93459,12.05723,12.25593,5.18651,0.0,0.0,0.0,0.0,6.21271,6.38871,6.84925,0.0,5.15876,0.0,6.69813,0.0,0.0,0.0,0.0,0.0,4.38607,2.81685,6.28934,0.0,0.0
2024-07-20,5.80992,0.0,6.57736,12.099,12.2674,5.01515,0.0,0.0,0.0,0.0,6.60925,6.3523,6.66217,0.0,5.01291,0.0,6.68959,0.0,0.0,0.0,0.0,0.0,5.42486,3.18615,6.237,0.0,0.0
2024-07-21,5.78935,0.0,6.53417,12.1806,12.28614,5.2764,0.0,0.0,0.0,0.0,6.51114,6.68716,6.6884,0.0,5.0682,0.0,6.98843,0.0,0.0,0.0,0.0,0.0,5.46836,3.98443,16.77419,0.0,0.0
2024-07-22,5.8681,0.0,6.44345,12.19112,12.29435,5.68872,0.0,0.0,0.0,0.0,7.37346,11.88244,6.78961,0.0,5.42544,0.0,6.44311,0.0,0.0,0.0,0.0,0.0,6.23265,3.31279,7.09764,0.0,0.0
2024-07-23,5.82085,0.0,6.6612,11.74961,11.83156,5.08024,0.0,0.0,0.0,0.0,7.0095,10.50798,7.02907,0.0,5.07444,0.0,6.56186,0.0,0.0,0.0,0.0,0.0,5.41114,3.71851,6.06657,0.0,0.0
2024-07-24,5.75522,0.0,6.61459,11.93024,11.81729,5.40814,0.0,0.0,0.0,0.0,7.21822,19.8883,6.62303,0.0,5.40525,0.0,4.65977,0.0,0.0,0.0,0.0,0.0,4.49479,3.63995,4.31796,0.0,0.0
2024-07-25,4.12285,0.0,4.77023,11.2587,11.40763,5.22324,0.0,0.0,0.0,0.0,6.69094,7.05305,6.26573,0.0,5.20981,0.0,4.58705,0.0,0.0,0.0,0.0,0.0,11.1178,4.12422,4.26334,0.0,0.0
2024-07-26,4.21088,0.0,4.58593,11.33369,11.48257,5.15032,12.13151,0.0,0.0,0.0,6.68048,7.06603,6.40211,0.0,5.15998,0.0,4.92227,0.0,0.0,0.0,0.0,0.0,9.37301,3.78665,3.83325,0.0,0.0
2024-07-27,4.28965,0.0,4.95808,11.17751,11.45623,5.22822,20.38838,0.0,0.0,0.0,6.85141,7.16586,6.57472,0.0,5.23972,0.0,5.12359,0.0,0.0,0.0,0.0,0.0,6.23812,3.47949,3.81944,0.0,0.0
2024-07-28,4.31385,0.0,5.04408,11.15961,11.52891,5.40641,13.3593,0.0,0.0,0.0,6.81173,6.95535,6.10332,0.0,5.37387,0.0,4.83481,0.0,0.0,0.0,0.0,0.0,21.0856,5.14689,4.10483,0.0,0.0
2024-07-29,4.31128,0.0,5.15556,11.54819,11.56139,5.14357,26.63577,0.0,0.0,0.0,6.65794,6.65293,6.26399,0.0,5.11693,0.0,4.59605,0.0,0.0,0.0,0.0,0.0,9.51971,4.74245,4.65527,0.0,0.0
2024-07-30,4.38681,0.0,5.10995,11.53098,10.7761,5.38586,13.1467,0.0,0.0,0.0,7.36154,6.68489,6.3298,0.0,5.37913,0.0,4.6985,0.0,0.0,0.0,0.0,0.0,8.44806,4.36014,4.54969,0.0,0.0
2024-07-31,4.54451,0.0,5.03158,11.43943,10.77101,0.0,11.33491,0.0,0.0,0.0,11.91444,6.62037,6.34584,0.0,8.28831,0.0,4.79345,0.0,0.0,0.0,0.0,0.0,5.75229,4.56483,4.11225,0.0,0.0
2024-08-01,4.44735,0.0,4.66863,11.40758,11.58414,4.94475,17.25944,0.0,0.0,0.0,9.06916,6.55059,6.36714,0.0,4.90846,0.0,5.20759,0.0,0.0,0.0,0.0,0.0,3.86454,6.02704,3.94028,0.0,0.0
2024-08-02,4.22133,0.0,4.63197,11.26985,11.93129,5.23257,12.97877,0.0,0.0,0.0,7.18074,6.23321,6.23495,0.0,5.21141,0.0,4.87269,0.0,0.0,0.0,0.0,0.0,9.26318,4.3067,3.68595,0.0,0.0
2024-08-03,4.2686,0.0,5.2438,10.91136,11.53698,4.91935,11.26586,0.0,0.0,0.0,6.89075,6.17148,5.5559,0.0,4.92268,0.0,4.72853,0.0,0.0,0.0,0.0,0.0,10.84471,5.41466,3.82674,0.0,0.0
