,aave-v2_USDC_Ethereum,aave-v3_DAI_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDC_Avalanche,aave-v3_USDC_Base,aave-v3_USDC_Ethereum,aave-v3_USDC_Polygon,aave-v3_USDE_Ethereum,aave-v3_USDS_Ethereum,aave-v3_USDTB_Ethereum,aave-v3_USDT_Avalanche,aave-v3_USDT_Ethereum,aave-v3_USDT_Polygon,ethena-usde_SUSDE_Ethereum,euler-v2_USDC_Ethereum,euler-v2_USDT_Avalanche,fluid-lending_SUSDE_Ethereum,fluid-lending_USDC_Arbitrum,fluid-lending_USDC_Base,fluid-lending_USDC_Ethereum,fluid-lending_USDC_Polygon,fluid-lending_USDT_Ethereum,fluid-lending_USDT_Polygon,morpho-blue_BBQUSDC_Ethereum,morpho-blue_CSUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_GTUSDT_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_HYPERUSDC_Ethereum,morpho-blue_MWUSDC_Base,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SMUSDC_Base,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_VBSHUSDC_Ethereum
2024-06-26,6.5663,6.03401,0.0,0.0,0.0,0.0,5.01765,6.56929,6.03691,7.01275,5.83823,3.66896,0.0,0.0,5.97813,4.93061,6.13666,10.63951,0.0,0.0,0.0,0.0,0.0,11.42435,0.0,15.19864,0.0,0.0,0.0,12.14943,0.0,6.91489,6.22651,0.0,0.0,16.61641,0.0,0.0,0.0,0.0,0.0,0.0,9.24091,6.90563,6.24304,0.0,0.0,0.0,0.0
2024-06-27,9.82599,6.05446,0.0,0.0,0.0,0.0,5.29494,7.00946,6.10904,6.54328,5.83912,3.71205,0.0,0.0,6.1281,4.81008,5.98011,9.27133,0.0,0.0,0.0,0.0,0.0,12.17412,0.0,14.80985,0.0,0.0,0.0,11.62102,0.0,6.65843,6.14994,0.0,0.0,0.34936,0.0,0.0,0.0,0.0,0.0,0.0,8.93426,6.66142,6.15107,0.0,0.0,0.0,0.0
2024-06-28,9.00345,6.15041,0.0,0.0,0.0,0.0,5.3504,7.09557,6.31214,6.59879,5.84404,4.15617,0.0,0.0,5.80062,4.80133,5.60941,9.2424,0.0,0.0,0.0,0.0,0.0,11.87406,0.0,13.2386,0.0,0.0,0.0,11.36236,0.0,6.62797,6.19424,0.0,0.0,9.47995,0.0,0.0,0.0,0.0,0.0,0.0,8.40127,6.57414,6.19967,0.0,0.0,0.0,0.0
2024-06-29,10.10201,6.72437,0.0,0.0,0.0,0.0,5.92709,7.10377,5.92348,6.57371,6.22947,4.07408,0.0,0.0,5.69645,4.6728,5.27972,9.20472,0.0,0.0,0.0,0.0,0.0,11.39714,0.0,12.86356,0.0,0.0,0.0,10.3132,0.0,7.53972,6.652,0.0,0.0,9.4751,0.0,0.0,0.0,0.0,0.0,0.0,8.08574,7.54195,6.62518,0.0,0.0,0.0,0.0
2024-06-30,3.3515,6.90295,0.0,0.0,0.0,0.0,6.27186,7.2199,5.62336,6.83022,6.37095,3.6663,0.0,0.0,5.55766,4.78929,5.1086,9.19521,0.0,0.0,0.0,0.0,0.0,11.71927,0.0,12.40053,0.0,0.0,0.0,9.38796,0.0,6.92536,6.45205,0.0,0.0,9.55397,0.0,0.0,0.0,0.0,0.0,0.0,7.94164,6.97304,6.44729,0.0,0.0,0.0,0.0
2024-07-01,2.80012,6.84685,0.0,0.0,0.0,0.0,6.62814,6.93435,5.74895,6.84607,5.85854,3.91849,0.0,0.0,5.66021,5.43356,5.16895,9.23113,0.0,0.0,0.0,0.0,0.0,11.85792,0.0,12.28783,0.0,0.0,0.0,11.11324,0.0,7.54122,6.03594,0.0,0.0,9.91774,0.0,0.0,0.0,0.0,0.0,0.0,8.45249,7.54129,6.03888,0.0,0.0,0.0,0.0
2024-07-02,2.80194,6.18111,0.0,0.0,0.0,0.0,6.60951,7.08809,5.64002,6.93287,5.98207,3.96184,0.0,0.0,6.11446,5.48804,5.40455,9.16741,0.0,0.0,0.0,0.0,0.0,11.38004,0.0,11.88252,0.0,0.0,0.0,10.57118,0.0,7.35974,5.44309,0.0,0.0,9.91881,0.0,0.0,0.0,0.0,0.0,0.0,8.23511,7.32792,7.32824,0.0,0.0,0.0,0.0
2024-07-03,2.80554,5.90969,0.0,0.0,0.0,0.0,6.35627,6.72902,6.42465,6.73327,5.48383,4.04912,0.0,0.0,5.88007,5.42195,5.64039,9.23314,0.0,0.0,0.0,0.0,0.0,11.38141,0.0,12.09753,0.0,0.0,0.0,10.55337,0.0,7.361,6.68237,0.0,0.0,10.1823,0.0,0.0,0.0,0.0,0.0,0.0,7.93959,7.29896,6.74667,0.0,0.0,0.0,0.0
2024-07-04,2.74822,5.88996,0.0,0.0,0.0,0.0,6.68053,6.69699,5.82384,6.56111,5.14444,3.95632,0.0,0.0,5.83406,5.24877,5.30801,15.63481,0.0,0.0,0.0,0.0,0.0,11.48936,0.0,12.30678,0.0,0.0,0.0,10.10394,0.0,7.57373,5.93584,0.0,0.0,10.0451,0.0,0.0,0.0,0.0,0.0,0.0,8.13482,7.57246,5.92272,0.0,0.0,0.0,0.0
2024-07-05,2.37319,5.64992,0.0,0.0,0.0,0.0,6.49132,6.24797,4.79286,5.47216,4.71417,4.30788,0.0,0.0,6.14161,5.1508,5.12519,15.73597,0.0,0.0,0.0,0.0,0.0,11.32107,0.0,12.90593,0.0,0.0,0.0,8.24371,0.0,6.39155,6.31925,0.0,0.0,9.5466,0.0,0.0,0.0,0.0,0.0,0.0,8.06744,6.4006,6.48629,0.0,0.0,0.0,0.0
2024-07-06,2.12315,5.70975,0.0,0.0,0.0,0.0,6.46487,6.18796,4.9622,6.32501,5.29078,4.39471,0.0,0.0,6.13846,5.11344,5.26793,15.68584,0.0,0.0,0.0,0.0,0.0,11.32313,0.0,12.53593,0.0,0.0,0.0,8.35268,0.0,6.26611,6.55302,0.0,0.0,9.35567,0.0,0.0,0.0,0.0,0.0,0.0,7.91803,6.33067,6.60006,0.0,0.0,0.0,0.0
2024-07-07,2.22541,5.61504,0.0,0.0,0.0,0.0,6.18393,6.08491,4.85611,6.18919,5.32786,4.35281,0.0,0.0,6.41774,5.14945,5.09247,15.70203,0.0,0.0,0.0,0.0,0.0,11.15719,0.0,13.09733,0.0,0.0,0.0,8.1793,0.0,6.20671,6.42222,0.0,0.0,7.90352,0.0,0.0,0.0,0.0,0.0,0.0,7.5545,6.20641,6.53221,0.0,0.0,0.0,0.0
2024-07-08,2.25342,5.6663,0.0,0.0,0.0,0.0,6.13794,6.17145,5.67007,5.27048,5.42363,4.38575,0.0,0.0,6.45116,5.05137,4.82059,15.71214,0.0,0.0,0.0,0.0,0.0,10.67286,0.0,12.80964,0.0,0.0,0.0,8.22205,0.0,6.28267,6.30006,0.0,0.0,7.96033,0.0,0.0,0.0,0.0,0.0,0.0,7.50236,6.19866,6.38727,0.0,0.0,0.0,0.0
2024-07-09,2.26791,5.73619,0.0,0.0,0.0,0.0,6.08405,6.28105,5.40496,5.1349,5.37103,4.422,0.0,0.0,6.25938,5.05445,4.70531,15.71947,0.0,0.0,0.0,0.0,0.0,10.21303,0.0,13.16074,0.0,0.0,0.0,8.03863,0.0,6.03752,15.27302,0.0,0.0,7.5134,0.0,0.0,0.0,0.0,0.0,0.0,7.29542,6.03372,0.0,0.0,0.0,0.0,0.0
2024-07-10,2.32447,5.6727,0.0,0.0,0.0,0.0,6.38775,6.24977,4.66049,5.09996,5.90982,4.38661,0.0,0.0,6.25048,5.3917,4.76741,15.67227,0.0,0.0,0.0,0.0,0.0,10.25508,0.0,12.65641,0.0,0.0,0.0,7.44783,0.0,5.65372,8.68788,0.0,0.0,7.75969,0.0,0.0,0.0,0.0,0.0,0.0,7.31212,5.67387,8.68392,0.0,0.0,0.0,0.0
2024-07-11,2.34867,5.64913,0.0,0.0,0.0,0.0,6.42263,5.9026,5.64147,5.13968,5.61119,4.40525,0.0,0.0,6.19379,5.46939,4.81501,8.03047,0.0,0.0,0.0,0.0,0.0,11.16325,0.0,12.11914,0.0,0.0,0.0,7.40792,0.0,5.50206,7.27525,0.0,0.0,5.74079,0.0,0.0,0.0,0.0,0.0,0.0,7.22596,5.50863,7.49119,0.0,0.0,0.0,0.0
2024-07-12,2.50403,5.45557,0.0,0.0,0.0,0.0,6.18206,5.82031,5.59742,5.24514,5.41773,4.46724,0.0,0.0,6.15808,5.47474,4.93026,8.01643,0.0,0.0,0.0,0.0,0.0,11.14018,0.0,12.57131,0.0,0.0,0.0,6.79486,0.0,4.88608,6.78827,0.0,0.0,0.53348,0.0,0.0,0.0,0.0,0.0,0.0,7.12619,4.97206,7.41551,0.0,0.0,0.0,0.0
