date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-07-11,344706819,0.0,358907651,70624608,65054114,47754004.0,0.0,0.0,0.0,0.0,23870616.0,4747631.0,35749522,0.0,19089887.0,0.0,11013437.0,0.0,0.0,0.0,0.0,0.0,6747415,15314312.0,4412663.0,0.0,0.0
2024-07-12,343974506,0.0,348018563,70770836,62714238,51721688.0,0.0,0.0,0.0,0.0,25291285.0,5257103.0,40265279,0.0,19115270.0,0.0,11523632.0,0.0,0.0,0.0,0.0,0.0,6821379,15750032.0,4499099.0,0.0,0.0
2024-07-13,346771467,0.0,307483154,78235700,64803569,51692805.0,0.0,0.0,0.0,0.0,25319515.0,6364675.0,37810927,0.0,19130457.0,0.0,9075745.0,0.0,0.0,0.0,0.0,0.0,8553536,15775839.0,4314016.0,0.0,0.0
2024-07-14,349713590,0.0,299318204,68266957,64631107,51708150.0,0.0,0.0,0.0,0.0,24669508.0,6152011.0,32442220,0.0,19126327.0,0.0,9013302.0,0.0,0.0,0.0,0.0,0.0,9349899,17082162.0,5521970.0,0.0,0.0
2024-07-15,286554644,0.0,277248636,72355815,65104234,52057289.0,0.0,0.0,0.0,0.0,24851671.0,6152639.0,23723405,0.0,19278986.0,0.0,5828566.0,0.0,0.0,0.0,0.0,0.0,10285842,17541862.0,4652558.0,0.0,0.0
2024-07-16,285989845,0.0,289726926,71193663,67517412,49684906.0,0.0,0.0,0.0,0.0,24003022.0,6112321.0,25796510,0.0,19236802.0,0.0,7032036.0,0.0,0.0,0.0,0.0,0.0,10972216,17434113.0,4718372.0,0.0,0.0
2024-07-17,307275908,0.0,292197006,67535098,67382809,48818629.0,0.0,0.0,0.0,0.0,22043796.0,6118968.0,28462457,0.0,20919674.0,0.0,6209682.0,0.0,0.0,0.0,0.0,0.0,11553051,17717817.0,5112735.0,0.0,0.0
2024-07-18,294186215,0.0,275054877,67487766,67133299,47929196.0,0.0,0.0,0.0,0.0,22054181.0,6109398.0,31548116,0.0,20978995.0,0.0,6409957.0,0.0,0.0,0.0,0.0,0.0,13199345,18480900.0,5040024.0,0.0,0.0
2024-07-19,298462946,0.0,271264209,65334024,64328070,49909987.0,0.0,0.0,0.0,0.0,23337801.0,6554915.0,32276784,0.0,20969279.0,0.0,7944740.0,0.0,0.0,0.0,0.0,0.0,11258965,17806747.0,4412259.0,0.0,0.0
2024-07-20,312468353,0.0,206530120,65423299,64654086,50460893.0,0.0,0.0,0.0,0.0,23969638.0,6559677.0,35667833,0.0,21100454.0,0.0,7937167.0,0.0,0.0,0.0,0.0,0.0,7540263,17849203.0,4524425.0,0.0,0.0
2024-07-21,317828551,0.0,212827790,64703460,64162790,50482795.0,0.0,0.0,0.0,0.0,23952658.0,6577587.0,35584630,0.0,21109601.0,0.0,7008432.0,0.0,0.0,0.0,0.0,0.0,7475358,18099746.0,2293870.0,0.0,0.0
2024-07-22,310311459,0.0,223807676,64670002,64255353,50395055.0,0.0,0.0,0.0,0.0,23603240.0,4959674.0,33562427,0.0,23114206.0,0.0,9566384.0,0.0,0.0,0.0,0.0,0.0,5563829,18380295.0,3127183.0,0.0,0.0
2024-07-23,316352556,0.0,200926048,67234381,66635345,50385273.0,0.0,0.0,0.0,0.0,23428310.0,4947398.0,29412317,0.0,23111630.0,0.0,12421971.0,0.0,0.0,0.0,0.0,0.0,8193989,18182990.0,6351841.0,0.0,0.0
2024-07-24,327984720,0.0,206180973,66064240,66671406,45928183.0,0.0,0.0,0.0,0.0,24327263.0,5046545.0,36403259,0.0,23102396.0,0.0,13508425.0,0.0,0.0,0.0,0.0,0.0,5758983,18795726.0,6777545.0,0.0,0.0
2024-07-25,327889254,0.0,205946996,69990166,69076674,45388433.0,438704.0,0.0,0.0,0.0,28231931.0,5182780.0,42441838,0.0,23130496.0,0.0,13828322.0,0.0,0.0,0.0,0.0,0.0,2738338,16273513.0,6590847.0,0.0,0.0
2024-07-26,313963433,0.0,238868251,69510195,68635754,44716954.0,3128950.0,0.0,0.0,0.0,28154171.0,5177549.0,39843738,0.0,23753306.0,0.0,10762866.0,0.0,0.0,0.0,0.0,0.0,2734102,17641310.0,8524971.0,0.0,0.0
2024-07-27,300339722,0.0,178401693,70504582,68751314,44740957.0,6028716.0,0.0,0.0,0.0,28164231.0,5011745.0,36504295,0.0,23730705.0,0.0,9402710.0,0.0,0.0,0.0,0.0,0.0,2949177,18291627.0,8828306.0,0.0,0.0
2024-07-28,297088435,0.0,167770694,70633754,68384584,44764238.0,8471317.0,0.0,0.0,0.0,28192163.0,5021012.0,46085023,0.0,23730225.0,0.0,11841339.0,0.0,0.0,0.0,0.0,0.0,2009958,17584978.0,8278254.0,0.0,0.0
2024-07-29,299849626,0.0,159202036,68255581,68179649,45150591.0,11842309.0,0.0,0.0,0.0,28617108.0,5037485.0,43330591,0.0,24349613.0,0.0,14186825.0,0.0,0.0,0.0,0.0,0.0,2749294,17599745.0,6043504.0,0.0,0.0
2024-07-30,287187717,0.0,166341427,68372354,73161902,45100263.0,17125169.0,0.0,0.0,0.0,28614666.0,5035704.0,41909058,0.0,24341049.0,0.0,13194889.0,0.0,0.0,0.0,0.0,0.0,2897751,17558428.0,6524598.0,0.0,0.0
2024-07-31,260128694,0.0,178788788,68907366,73170245,45103746.0,18718242.0,0.0,0.0,0.0,27117672.0,5030960.0,41576406,0.0,24347392.0,0.0,13848914.0,0.0,0.0,0.0,0.0,0.0,3032196,17341520.0,8118761.0,0.0,0.0
2024-08-01,277452181,0.0,229611131,68997375,67843122,45416468.0,18864571.0,0.0,0.0,0.0,30817093.0,5013007.0,40775248,0.0,28892834.0,0.0,10168585.0,0.0,0.0,0.0,0.0,0.0,8345352,17599370.0,9034103.0,0.0,0.0
2024-08-02,319608035,0.0,236864130,69682021,65834219,45518005.0,19364189.0,0.0,0.0,0.0,31119619.0,5252475.0,42549448,0.0,25337019.0,0.0,9948257.0,0.0,0.0,0.0,0.0,0.0,2945507,18468770.0,8013854.0,0.0,0.0
2024-08-03,301835446,0.0,139494568,72254942,68272974,47262943.0,20357188.0,0.0,0.0,0.0,32373169.0,5250488.0,53746834,0.0,24783102.0,0.0,11613711.0,0.0,0.0,0.0,0.0,0.0,2713069,17630299.0,8633381.0,0.0,0.0
2024-08-04,314828958,0.0,179946427,72362826,66858373,47439123.0,21031002.0,0.0,0.0,0.0,32474400.0,5247640.0,65745449,0.0,24264050.0,0.0,13257820.0,0.0,0.0,0.0,0.0,0.0,2892383,17457404.0,7792066.0,0.0,0.0
2024-08-05,303020446,0.0,425655128,60115370,64883549,38066586.0,18346402.0,0.0,0.0,0.0,32980379.0,4799307.0,111057822,0.0,20202652.0,0.0,20281123.0,0.0,0.0,0.0,0.0,0.0,3891374,13715156.0,5082045.0,0.0,0.0
2024-08-06,282410482,0.0,410087084,62310052,65036381,37090949.0,20523595.0,0.0,0.0,0.0,37759360.0,4786020.0,103189414,0.0,20138955.0,0.0,21863444.0,0.0,0.0,0.0,0.0,0.0,4033387,16726075.0,4482360.0,0.0,0.0
2024-08-07,330147283,0.0,367188132,63168261,61148844,37587188.0,22782390.0,0.0,0.0,0.0,35851770.0,4672956.0,98444328,0.0,20085834.0,0.0,23036768.0,0.0,0.0,0.0,0.0,0.0,3199561,16893734.0,7727382.0,0.0,0.0
2024-08-08,255499644,0.0,352440053,66971335,61522488,38484610.0,22001624.0,0.0,0.0,0.0,35983167.0,4704639.0,89066894,0.0,20250072.0,0.0,22646428.0,0.0,0.0,0.0,0.0,0.0,4357472,16698252.0,8745684.0,0.0,0.0
2024-08-09,288120753,0.0,291280214,67126569,61536543,38187988.0,29718446.0,0.0,0.0,0.0,35835738.0,4174234.0,89143218,0.0,21300823.0,0.0,25156928.0,0.0,0.0,0.0,0.0,0.0,5621704,16195088.0,7973013.0,0.0,0.0
