,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-08-20,0.0,0.0,0.0,0.0,3.96202,3.20749,3.83633,4.85895,9.18434,9.74423,0.0,6.54361,0.0,0.0,0.0,0.0,6.27467,3.48659,4.15538,0.0,8.49988
2024-08-21,0.0,0.0,0.0,0.0,4.17164,3.06764,3.74783,4.90775,8.6756,10.32036,0.0,5.30477,0.0,0.0,0.0,0.0,6.40972,3.8531,4.43174,0.0,10.14442
2024-08-22,0.0,0.0,0.0,0.0,4.22629,1.81847,3.77427,4.91791,8.57744,9.9606,0.0,7.18904,0.0,0.0,0.0,0.0,6.41217,4.08967,4.39309,0.0,9.68158
2024-08-23,0.0,0.0,0.0,0.0,4.29146,1.36219,3.83598,4.72109,8.34835,9.86091,0.0,7.01576,0.0,0.0,0.0,0.0,6.55404,4.169,4.32075,0.0,8.70728
2024-08-24,0.0,0.0,0.0,0.0,4.50058,1.84092,3.90391,4.73402,8.3745,10.06386,0.0,7.18853,0.0,0.0,0.0,0.0,5.88682,4.64701,4.68287,0.0,8.11131
2024-08-25,0.0,0.0,0.0,0.0,4.51315,1.87452,4.10105,4.76097,8.76955,10.08245,0.0,6.94778,0.0,0.0,0.0,0.0,5.78482,4.27206,5.76011,0.0,8.32785
2024-08-26,0.0,0.0,0.0,0.0,4.55791,1.41605,4.11255,4.77246,8.54276,9.62161,0.0,7.37691,0.0,0.0,0.0,0.0,6.94166,4.43936,4.61887,0.0,7.54714
2024-08-27,0.0,0.0,0.0,0.0,4.41494,0.74676,3.94036,4.76651,7.84386,9.78954,0.0,7.68839,0.0,0.0,0.0,0.0,6.60097,4.1212,4.69927,0.0,7.61295
2024-08-28,0.0,0.0,0.0,0.0,4.2451,1.60507,3.88254,4.77465,7.81004,9.7785,0.0,7.7771,0.0,0.0,0.0,0.0,6.28082,4.87363,4.72392,0.0,7.62248
2024-08-29,0.0,0.0,0.0,0.0,4.20444,1.73349,3.87769,4.53937,7.79116,9.7106,0.0,8.162,0.0,0.0,0.0,0.0,5.92041,4.23568,4.66643,0.0,8.12093
