,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-07-19,0.0,0.0,0.0,0.0,271264209,12405503,298462946,1572866642,65334024,64328070,0.0,23337801.0,0.0,0.0,0.0,0.0,500319540.0,49909987.0,6554915.0,0.0,0.0
2024-07-20,0.0,0.0,0.0,0.0,206530120,12198378,312468353,1583883981,65423299,64654086,0.0,23969638.0,0.0,0.0,0.0,0.0,500812854.0,50460893.0,6559677.0,0.0,0.0
2024-07-21,0.0,0.0,0.0,0.0,212827790,12743036,317828551,1573727563,64703460,64162790,0.0,23952658.0,0.0,0.0,0.0,0.0,499957491.0,50482795.0,6577587.0,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,223807676,12865802,310311459,1573107465,64670002,64255353,0.0,23603240.0,0.0,0.0,0.0,0.0,500477101.0,50395055.0,4959674.0,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.0,200926048,12916305,316352556,1581567920,67234381,66635345,0.0,23428310.0,0.0,0.0,0.0,0.0,498567788.0,50385273.0,4947398.0,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,206180973,13996197,327984720,1577256077,66064240,66671406,0.0,24327263.0,0.0,0.0,0.0,0.0,449932639.0,45928183.0,5046545.0,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,205946996,25140528,327889254,1556001305,69990166,69076674,0.0,28231931.0,0.0,0.0,0.0,0.0,450121075.0,45388433.0,5182780.0,0.0,438704.0
2024-07-26,0.0,0.0,0.0,0.0,238868251,22289438,313963433,1550526725,69510195,68635754,0.0,28154171.0,0.0,0.0,0.0,0.0,450470493.0,44716954.0,5177549.0,0.0,3128950.0
2024-07-27,0.0,0.0,0.0,0.0,178401693,24367192,300339722,1544061412,70504582,68751314,0.0,28164231.0,0.0,0.0,0.0,0.0,450263446.0,44740957.0,5011745.0,0.0,6028716.0
2024-07-28,0.0,0.0,0.0,0.0,167770694,23995718,297088435,1542850783,70633754,68384584,0.0,28192163.0,0.0,0.0,0.0,0.0,450605711.0,44764238.0,5021012.0,0.0,8471317.0
2024-07-29,0.0,0.0,0.0,0.0,159202036,21280180,299849626,1537957670,68255581,68179649,0.0,28617108.0,0.0,0.0,0.0,0.0,450148366.0,45150591.0,5037485.0,0.0,11842309.0
2024-07-30,0.0,0.0,0.0,0.0,166341427,23652072,287187717,1530358301,68372354,73161902,0.0,28614666.0,0.0,0.0,0.0,0.0,449978294.0,45100263.0,5035704.0,0.0,17125169.0
2024-07-31,0.0,0.0,0.0,0.0,178788788,28631100,260128694,1526084708,68907366,73170245,0.0,27117672.0,0.0,0.0,0.0,0.0,451477511.0,45103746.0,5030960.0,0.0,18718242.0
2024-08-01,0.0,0.0,0.0,0.0,229611131,23871835,277452181,1518864779,68997375,67843122,0.0,30817093.0,0.0,0.0,0.0,0.0,449917683.0,45416468.0,5013007.0,0.0,18864571.0
2024-08-02,0.0,0.0,0.0,0.0,236864130,25278196,319608035,1516548366,69682021,65834219,0.0,31119619.0,0.0,0.0,0.0,0.0,450458205.0,45518005.0,5252475.0,0.0,19364189.0
2024-08-03,0.0,0.0,0.0,0.0,139494568,11442642,301835446,1515990538,72254942,68272974,0.0,32373169.0,0.0,0.0,0.0,0.0,450389184.0,47262943.0,5250488.0,0.0,20357188.0
2024-08-04,0.0,0.0,0.0,0.0,179946427,9533457,314828958,1510348530,72362826,66858373,0.0,32474400.0,0.0,0.0,0.0,0.0,448897677.0,47439123.0,5247640.0,0.0,21031002.0
2024-08-05,0.0,0.0,0.0,0.0,425655128,4974375,303020446,1418227341,60115370,64883549,0.0,32980379.0,0.0,0.0,0.0,0.0,450522108.0,38066586.0,4799307.0,0.0,18346402.0
2024-08-06,0.0,0.0,0.0,0.0,410087084,5245419,282410482,1405086787,62310052,65036381,0.0,37759360.0,0.0,0.0,0.0,0.0,449946751.0,37090949.0,4786020.0,0.0,20523595.0
