pool,avg_apy,avg_apy_base,avg_apy_reward,avg_apy_total,var_apy,var_apy_base,var_apy_reward,var_apy_total
morpho-blue_GTUSDCF_Ethereum,8.1304189,6.683605299999999,1.4468135000000004,8.1304188,6.52596979031696,6.684092718320111,0.2920516689320707,6.525972865774303
morpho-blue_GTUSDCP_Base,5.823414228571428,4.8844502,0.9389635428571429,5.823413742857142,13.009943585323041,12.5088617960799,2.563132032116925,13.009942880582802
morpho-blue_GTUSDC_Ethereum,6.225698784530387,5.744142845303868,0.48155577348066303,6.22569861878453,6.371764034815692,6.406436232638143,0.6258741534505081,6.371763280301133
morpho-blue_GTUSDT_Ethereum,6.691434475138121,6.206692983425413,0.4847413812154696,6.691434364640884,15.308738211977701,15.532103843035394,0.6247383015177546,15.308738902914968
morpho-blue_HUSDC_Ethereum,9.322279712230214,9.084544964028776,0.23773467625899278,9.322279640287771,28.3846853660376,27.97282160025272,0.20857514491203213,28.38468203632668
morpho-blue_HUSDT_Ethereum,4.8905801515151515,4.231663787878787,0.6589162878787879,4.890580075757575,9.210849037433563,7.903482819732107,0.3349531837899318,9.210846702770223
morpho-blue_HYPERUSDC_Ethereum,8.666763717948717,8.41377141025641,0.2529933333333334,8.666764743589743,30.508109659701574,29.793002956235654,0.06790747523290044,30.50810572686682
morpho-blue_HYPERUSDT_Ethereum,4.836214,4.384601999999999,0.45161100000000004,4.836212999999999,0.578422634337778,0.8634497077955555,0.047863045032222225,0.5784242916455553
morpho-blue_HYUSDC_Ethereum,11.123307142857142,10.32774,0.7955685714285714,11.12330857142857,13.955371661857143,15.696462304933332,0.13981375274761906,13.955361969580954
morpho-blue_MIDASUSDC_Ethereum,4.445158119658119,3.799409401709401,0.6457483760683761,4.445157777777777,7.990848562575743,6.444187445719467,0.20544412224992628,7.990847018655366
morpho-blue_MWUSDC_Base,5.159016057142857,3.7760375428571433,1.3829789428571428,5.159016485714285,11.261923196811917,6.244665161701681,7.4562046819676455,11.261923957684175
morpho-blue_RE7USDCC_Ethereum,6.24200125,5.80667125,0.43533,6.24200125,9.048842556446193,9.655508816567934,0.059028904217391306,9.048842365472282
morpho-blue_RE7USDC_Base,6.8268157999999985,5.463323114285714,1.3634927714285714,6.826815885714285,20.174783244029015,17.361632268482253,11.369094927177683,20.174782209188752
morpho-blue_RESOLVUSDC_Ethereum,8.622632133333333,7.810650466666666,0.8119819333333333,8.622632399999999,16.224532638423607,14.120432368679648,0.959790408157982,16.224527915978094
morpho-blue_REUSDC_Ethereum,10.781817142857141,10.106737647058825,0.675079243697479,10.781816890756302,20.381563901340325,22.823538581656887,0.5560246900424636,20.381565038617296
morpho-blue_SBMORPHOUSDC_Ethereum,5.795279400749064,5.241428464419476,0.553850936329588,5.795279400749064,6.945555169908663,7.137371260658911,0.5813006870318267,6.945556055789114
morpho-blue_SMUSDC_Base,8.593726312056736,5.583497588652483,3.0102275886524823,8.593725177304965,8.20806675954059,2.868810244201287,6.818177067741287,8.208064549678005
morpho-blue_SPARKUSDC_Base,6.5073624113475175,4.943238794326241,1.5641231205673758,6.507361914893616,3.106095756728429,1.3012638248992503,1.4774572106644783,3.106096134951306
morpho-blue_STEAKUSDCLEVEL_Ethereum,8.730917999999999,8.162476499999999,0.568443,8.730919499999999,4.6180864461221045,4.808300999434474,0.062363718201052624,4.618082961047105
morpho-blue_STEAKUSDC_Base,6.2064548,5.317666942857143,0.8887883714285714,6.206455314285714,18.577643150673172,18.135213705257392,2.1074635177088012,18.577643597200332
morpho-blue_STEAKUSDC_Ethereum,6.257284392265194,5.775776215469613,0.4815081767955801,6.257284392265194,6.84783010149118,6.907302934539377,0.6254673177673039,6.8478307443593245
morpho-blue_STEAKUSDT_Ethereum,6.837800552486188,6.353292817679558,0.4845078729281768,6.837800690607734,15.964465084071715,16.180679717899515,0.6241018639203938,15.96446576938706
morpho-blue_SYRUPUSDC_Ethereum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morpho-blue_USDC_Ethereum,6.212087499999998,6.171742045454544,0.040345454545454545,6.212087499999998,28.663429709181976,28.969907077105017,0.03528532328583509,28.663429709181976
morpho-blue_USUALUSDC+_Ethereum,11.571705047923324,11.335365942492013,0.23633910543130993,11.571705047923324,49.254536487697514,50.00026055025753,0.2158683983427869,49.254535110543024
morpho-blue_VBGTUSDT_Ethereum,4.177035,3.63845625,0.5385774999999999,4.17703375,0.22701391788571432,0.16386379148392857,0.05799443907857142,0.22701181216964292
morpho-blue_VBSHUSDC_Ethereum,4.4770625,3.8566012499999998,0.62046125,4.477062500000001,0.34619819816428576,0.2549961454410716,0.06985973049821428,0.3461980921642858
