date,protocol,asset,chain,best_apy,tvl
2024-10-24,morpho-aave,USDT,Ethereum,28.14526,2838145
2024-10-25,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,47.55501,21069
2024-10-26,morpho-aave,USDT,Ethereum,22.5332,2838318
2024-10-27,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,60.36914,21162
2024-10-28,morpho-aave,USDT,Ethereum,21.8322,2838505
2024-10-29,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,68.59589,22012
2024-10-30,morpho-blue,RE7USDT,Ethereum,19.93645,1370073
2024-10-31,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,18.38821,152930841
2024-11-01,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,16.24505,150299731
2024-11-02,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,24.57871,148163276
2024-11-03,fluid-lending,USDC,Arbitrum,14.84,7245908
2024-11-04,morpho-blue,USUALUSDC+,Ethereum,14.14767,70049114
2024-11-05,morpho-blue,PT-SUSDE-27MAR2025,Ethereum,13.99953,130440322
2024-11-06,morpho-aave,USDT,Ethereum,92.14702,2847065
2024-11-07,morpho-aave,USDT,Ethereum,84.48688,2847520
2024-11-08,morpho-aave,USDT,Ethereum,59.17484,2847861
2024-11-09,morpho-aave,USDT,Ethereum,38.06328,2848117
2024-11-10,morpho-aave,USDT,Ethereum,31.21251,2848330
2024-11-11,morpho-aave,USDT,Ethereum,58.81447,2812951
2024-11-12,morpho-aave,USDT,Ethereum,54.58464,2813227
2024-11-13,morpho-aave,USDT,Ethereum,53.92555,2813526
2024-11-14,morpho-aave,USDT,Ethereum,62.68344,2813870
2024-11-15,morpho-aave,USDT,Ethereum,62.3906,2814178
2024-11-16,morpho-aave,USDT,Ethereum,57.52983,2814471
2024-11-17,morpho-aave,USDT,Ethereum,32.64487,2831094
2024-11-18,morpho-aave,USDT,Ethereum,44.05772,2833302
2024-11-19,morpho-blue,PYTHUSDC,Base,37.23901,630406
2024-11-20,morpho-aave,USDT,Ethereum,33.77799,2835453
2024-11-21,morpho-blue,RE7USDT,Ethereum,38.87242,1231797
2024-11-22,morpho-blue,GTDAICORE,Ethereum,35.65034,1157811
2024-11-23,ethena-usde,SUSDE,Ethereum,22.67978,2433924075
2024-11-24,morpho-aave,USDT,Ethereum,26.04457,2834806
2024-11-25,ethena-usde,SUSDE,Ethereum,21.95536,2506691559
2024-11-26,morpho-blue,RE7USDC,Base,21.76437,1351536
2024-11-27,aave-v3,DAI,Ethereum,59.32806,234763
2024-11-28,morpho-blue,RE7USDT,Ethereum,35.29684,1173381
2024-11-29,ethena-usde,SUSDE,Ethereum,28.20761,2876183189
2024-11-30,aave-v3,DAI,Ethereum,29.43219,7262179
2024-12-01,morpho-blue,USUALUSDC+,Ethereum,33.61409,72111005
2024-12-02,aave-v3,USDE,Ethereum,33.99875,1668433
2024-12-03,morpho-aave,USDT,Ethereum,35.74618,2837395
