,ethena-usde_SUSDE_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_USDT_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,morpho-blue_SPDAI_Ethereum,aave-v3_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,aave-v3_USDE_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,aave-v3_USDS_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,fluid-lending_SUSDE_Ethereum,aave-v3_PT-EUSDE-29MAY2025_Ethereum,morpho-blue_SUSDE_Ethereum,morpho-blue_PT-USDE-31JUL2025_Ethereum,morpho-blue_HYUSDC_Ethereum,euler-v2_USDC_Base,euler-v2_USDC_Ethereum,morpho-blue_IMF-USDS_Ethereum,morpho-blue_BBQDAI_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_USDE_Ethereum,morpho-blue_USDC_Ethereum,aave-v2_USDT_Polygon,aave-v2_USDT.E_Avalanche,morpho-aave_USDC_Ethereum,morpho-blue_GTAUSDC_Ethereum,morpho-blue_OHMSUSDS_Ethereum,morpho-blue_SAFE-STEAKUSDC_Ethereum,morpho-blue_SUSDS_Ethereum,morpho-blue_APRUSDC_Base,euler-v2_SUSDS_Ethereum,euler-v2_USDE_Ethereum,morpho-blue_STKCVXCRVUSDCWBTCWETH-MORPHO_Ethereum,morpho-blue_STKCVXCRVUSDETHCRV-MORPHO_Ethereum,morpho-blue_PT-SUSDE-27FEB2025_Ethereum,morpho-blue_RE7USDCP_Ethereum,morpho-blue_INDEUSDC_Base,euler-v2_SDAI_Ethereum,morpho-blue_PYTHUSDC_Base,morpho-aave_USDT_Ethereum,morpho-compound_USDT_Ethereum,morpho-blue_MJUSDC_Base,morpho-blue_USDC_Base,morpho-blue_AUSDC_Base,morpho-blue_STKCVXCRVUSDTWBTCWETH-MORPHO_Ethereum,morpho-compound_DAI_Ethereum,morpho-blue_LUMENUSDC_Base
2024-06-26,10.63951,0.0,4.93061,0.0,0.0,7.01275,9.24091,0.0,0.0,0.0,3.66896,15.19864,6.90563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14943,6.24304,5.55779,0.0,6.91489,0.0,0.0,0.0,0.0,76.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75271,1.73013,10.9755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52228,14.57708,0.0,0.0,0.0,0.0,0.0,8.61838,4.108,0.0,0.0,0.0,23.67109,8.09027,0.0
2024-06-27,9.27133,0.0,4.81008,0.0,0.0,6.54328,8.93426,0.0,0.0,0.0,3.71205,14.80985,6.66142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62102,6.15107,6.49418,0.0,6.65843,0.0,0.0,0.0,0.0,82.51066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27792,1.63845,16.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.86245,14.42862,0.0,0.0,0.0,0.0,0.0,4.3244,4.1881,0.0,0.0,0.0,7.0955,8.11587,0.0
2024-06-28,9.2424,0.0,4.80133,0.0,0.0,6.59879,8.40127,0.0,0.0,0.0,4.15617,13.2386,6.57414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36236,6.19967,5.33063,0.0,6.62797,0.0,0.0,0.0,0.0,108.86596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15018,1.6129,15.30086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94722,13.59624,0.0,0.0,0.0,0.0,0.0,4.45409,4.25547,0.0,0.0,0.0,6.64654,8.13803,0.0
2024-06-29,9.20472,0.0,4.6728,0.0,0.0,6.57371,8.08574,0.0,0.0,0.0,4.07408,12.86356,7.54195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3132,6.62518,6.5326,0.0,7.53972,0.0,0.0,0.0,0.0,173.43179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18628,1.79442,17.30128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.02107,13.66356,0.0,0.0,0.0,0.0,0.0,6.67117,4.25532,0.0,0.0,0.0,6.67939,8.13366,0.0
2024-06-30,9.19521,0.0,4.78929,0.0,0.0,6.83022,7.94164,0.0,0.0,0.0,3.6663,12.40053,6.97304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38796,6.44729,5.40037,0.0,6.92536,0.0,0.0,0.0,0.0,204.96087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14818,1.60956,5.63143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13692,13.76893,0.0,0.0,0.0,0.0,0.0,9.37569,4.27626,0.0,0.0,0.0,7.24089,8.17563,0.0
2024-07-01,9.23113,0.0,5.43356,0.0,0.0,6.84607,8.45249,0.0,0.0,0.0,3.91849,12.28783,7.54129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11324,6.03888,5.37783,0.0,7.54122,0.0,0.0,0.0,0.0,44.9316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28417,1.66086,4.9645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.22004,13.84452,0.0,0.0,0.0,0.0,0.0,3.30451,15.97248,0.0,0.0,0.0,6.64876,8.57566,0.0
2024-07-02,9.16741,0.0,5.48804,0.0,0.0,6.93287,8.23511,0.0,0.0,0.0,3.96184,11.88252,7.32792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.57118,7.32824,6.48111,0.0,7.35974,0.0,0.0,0.0,0.0,22.27964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19674,1.43461,4.96671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18776,13.83822,0.0,0.0,0.0,0.0,0.0,3.41318,12.55061,0.0,0.25725,0.0,6.63378,8.64011,0.0
2024-07-03,9.23314,0.0,5.42195,0.0,0.0,6.73327,7.93959,0.0,0.0,0.0,4.04912,12.09753,7.29896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55337,6.74667,6.54118,0.0,7.361,0.0,0.0,0.0,0.0,21.87784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16489,1.52916,4.96051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51922,13.23018,0.0,0.0,0.0,0.0,0.0,3.46285,13.22277,0.0,0.23253,0.0,5.34211,8.53254,0.0
2024-07-04,15.63481,0.0,5.24877,0.0,0.0,6.56111,8.13482,0.0,0.0,0.0,3.95632,12.30678,7.57246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.10394,5.92272,5.46758,0.0,7.57373,0.0,0.0,0.0,0.0,21.57355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.12969,1.59955,4.90984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62284,12.39004,0.0,0.0,0.0,0.0,0.0,3.19163,5.04367,0.0,0.2305,0.0,5.02133,7.47386,0.0
2024-07-05,15.73597,0.0,5.1508,0.0,0.0,5.47216,8.06744,0.0,0.0,0.0,4.30788,12.90593,6.4006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24371,6.48629,6.27921,0.0,6.39155,0.0,0.0,0.0,0.0,24.99075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.51387,1.48293,4.44174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.40447,11.49977,0.0,0.0,0.0,0.0,0.0,3.24258,6.06735,0.0,2.99016,0.0,6.06734,6.33538,0.0
